識別番号,分野,頻出度,言葉,読み,文章,漢字1,読み1,漢字2,読み2
617,訓読み,b,鴛鴦,おしどり,両親は鴛鴦夫婦と呼ばれている。,鴛鴦,おしどり,X,X
618,訓読み,b,沫,しぶき,打ち水の沫が顔にかかる。,沫,しぶき,X,X
619,訓読み,b,疏ら,まばら,夜道は人影が疏らだ。,疏,まば,X,ら
620,訓読み,b,蓋う,おおう,球場は熱気に蓋われていた。,蓋,おお,X,う
621,訓読み,b,僻む,ひがむ,兄ばかり褒められ弟が僻む。,僻,ひが,X,む
622,訓読み,b,翫ぶ,もてあそぶ,人の気持ちを翫ぶな。,翫,もてあそ,X,ぶ
623,訓読み,b,荊,いばら,彼の一生は荊の道であった。,荊,いばら,X,X
624,訓読み,b,叢,むら,山肌に木々が叢立っている。,叢,むら,X,X
625,訓読み,b,奄ち,たちまち,奄ちうわさが広まった。,奄,たちま,X,ち
626,訓読み,b,嘗て,かつて,未だ嘗て聞いたことがない。,嘗,かつ,X,て
627,訓読み,b,凡そ,およそ,学校からは凡そ五百メートルだ。,凡,およ,X,そ
628,訓読み,b,畏まる,かしこまる,学長の前に出て思わず畏まる。,畏,かしこ,X,まる
629,訓読み,b,掬う,すくう,夏まつりで金魚掬いを楽しんだ。,掬,すく,X,う
630,訓読み,b,山鉾,やまほこ,京の街を山鉾が巡行する。,山鉾,やまほこ,X,X
631,訓読み,b,猶,なお,今猶達者に暮らす。,猶,なお,X,X
632,訓読み,b,窃か,ひそか,窃かに物を盗む。,窃,ひそ,X,か
633,訓読み,b,縮緬,ちりめん,縮緬の羽織を着る。,縮緬,ちりめん,X,X
634,訓読み,b,趨る,はしる,極端に趨る。,趨,はし,X,る
635,訓読み,b,彊い,つよい,国を彊くする。,彊,つよ,X,い
636,訓読み,b,梢,こずえ,梢を切り落とす。,梢,こずえ,X,X
637,訓読み,b,耀く,かがやく,月が青白く耀く。,耀,かがや,X,く
638,訓読み,b,黄昏,たそがれ,黄昏時に帰途に就く。,黄昏,たそがれ,X,X
639,訓読み,b,浅葱,あさぎ,浅葱色の服を着る。,浅葱,あさぎ,X,X
640,訓読み,b,錫,すず,錫を産出する。,錫,すず,X,X
641,訓読み,b,鎖す,とざす,国を長く鎖す。,鎖,とざ,X,す
642,訓読み,b,鋤鍬,すきくわ,鋤鍬で開墾する。,鋤鍬,すきくわ,X,X
643,訓読み,b,嵩高,かさだか,嵩高に物を言う。,嵩高,かさだか,X,X
644,訓読み,b,千尋,ちひろ,千尋の谷底に落ちる。,千尋,ちひろ,X,X
645,訓読み,b,冠る,かむる,新調した帽子を冠る。,冠,かむ,X,る
646,訓読み,b,藁,わら,藁にもすがる思い。,藁,わら,X,X
647,訓読み,b,只管,ひたすら,只管無事を祈る。,只管,ひたすら,X,X
648,訓読み,b,碍げる,さまたげる,発展を碍げる。,碍,さまた,X,げる
649,訓読み,b,蒲,がま,蒲が生い茂る。,蒲,がま,X,X
650,訓読み,b,申年,さるどし,息子は申年生まれだ。,申年,さるどし,X,X
651,訓読み,b,愛弟子,まなでし,愛弟子に説諭する。,愛弟子,まなでし,X,X
652,訓読み,b,紙撚,こより,書類を紙撚で綴じる。,紙撚,こより,X,X
653,訓読み,b,蔦,つた,壁一面に蔦が這う。,蔦,つた,X,X
654,訓読み,b,隼,はやぶさ,隼が獲物を狙う。,隼,はやぶさ,X,X
655,訓読み,b,真鰯,まいわし,真鰯を塩焼きにする。,真鰯,まいわし,X,X
656,訓読み,b,畦道,あぜみち,畦道を歩いて帰る。,畦道,あぜみち,X,X
657,訓読み,b,塞ぐ,ふさぐ,落石で道を塞ぐ。,塞,ふさ,X,ぐ
658,訓読み,b,曳く,ひく,尾を途中に曳く。,曳,ひ,X,く
659,訓読み,b,楢,なら,楢を切り倒す。,楢,なら,X,X
660,訓読み,b,解れる,ほぐれる,旅で気分が解れる。,解,ほぐ,X,れる
661,訓読み,b,顕れる,あらわれる,不正が顕れる。,顕,あらわ,X,れる
662,訓読み,b,鞭つ,むちうつ,老骨に鞭つ。,鞭,むちう,X,つ
663,訓読み,b,萌黄,もえぎ,萌黄色に布を染める。,萌黄,もえぎ,X,X
664,訓読み,b,一片,ひとひら,一片の花びらが舞う。,一片,ひとひら,X,X
665,訓読み,b,黍餅,きびもち,黍餅を振る舞う。,黍餅,きびもち,X,X
666,訓読み,b,沓巻,くつまき,柱を沓巻で飾る。,沓巻,くつまき,X,X
667,訓読み,b,笹舟,ささぶね,笹舟を水に浮かべる。,笹舟,ささぶね,X,X
668,訓読み,b,択ぶ,えらぶ,良禽は樹を択ぶ。,択,えら,X,ぶ
669,訓読み,b,蝦根,えびね,蝦根が自生する。,蝦根,えびね,X,X
670,訓読み,b,笹身,ささみ,笹身に下味を付ける。,笹身,ささみ,X,X
671,訓読み,b,真榊,まさかき,真榊を奉納する。,真榊,まさかき,X,X
672,訓読み,b,鏑矢,かぶらや,鏑矢を放つ。,鏑矢,かぶらや,X,X
673,訓読み,b,蓋物,ふたもの,蓋物に前菜を盛る。,蓋物,ふたもの,X,X
674,訓読み,b,所以,ゆえん,人の人たる所以だ。,所以,ゆえん,X,X
675,訓読み,b,辻札,つじふだ,辻札を立てる。,辻札,つじふだ,X,X
676,訓読み,b,種麹,たねこうじ,玄米から種麹を造る。,種麹,たねこうじ,X,X
677,訓読み,b,栗鹿子,くりかのこ,茶に栗鹿子を添える。,栗鹿子,くりかのこ,X,X
678,訓読み,b,蝦芋,えびいも,蝦芋の煮物を作る。,蝦芋,えびいも,X,X
679,訓読み,b,路,みち,思慮が浅く路を誤る。,路,みち,X,X
680,訓読み,b,悶える,もだえる,激痛に悶える。,悶,もだ,X,える
681,訓読み,b,賤しい,いやしい,賤しい身となる。,賤,いや,X,しい
682,訓読み,b,鍔際,つばぎわ,絶体絶命の鍔際だ。,鍔際,つばぎわ,X,X
683,訓読み,b,黍,きび,黍餅を焼く。,黍,きび,X,X
684,訓読み,b,旺ん,さかん,血気旺んな若者だ。,旺,さか,X,ん
685,訓読み,b,昌ん,さかん,勢いが昌んになる。,昌,さか,X,ん
686,訓読み,b,愛でる,めでる,満開の桜を愛でる。,愛,め,X,でる
687,訓読み,b,篠笹,しのざさ,篠笹が茂る。,篠笹,しのざさ,X,X
688,訓読み,b,斑入り,ふいり,斑入りの花を飾る。,斑入,ふい,X,り
689,訓読み,b,糠袋,ぬかぶくろ,糠袋で体を洗う。,糠袋,ぬかぶくろ,X,X
690,訓読み,b,寝惚ける,ねぼける,寝惚けて蹴つまずく。,寝惚,ねぼ,X,ける
691,訓読み,b,葦火,あしび,葦火を焚き暖をとる。,葦火,あしび,X,X
692,訓読み,b,轡虫,くつわむし,轡虫の声が騒々しい。,轡虫,くつわむし,X,X
693,訓読み,b,粥腹,かゆばら,粥腹で力が入らない。,粥腹,かゆばら,X,X
694,訓読み,b,小噺,こばなし,小噺を披露する。,小噺,こばなし,X,X
695,訓読み,b,甲斐,かい,苦労の甲斐があった。,甲斐,かい,X,X
696,訓読み,b,後退り,あとずさり,敵を前に後退りする。,後退,あとずさ,X,り
697,訓読み,b,髭,くちひげ,起きて髭を剃る。,髭,くちひげ,X,X
698,訓読み,b,幾何,いくばく,余命幾何もない。,幾何,いくばく,X,X
699,訓読み,b,朝凪,あさなぎ,朝凪の海で舟を漕ぐ。,朝凪,あさなぎ,X,X
700,訓読み,b,鮎汲み,あゆくみ,川で鮎汲みをする。,鮎汲,あゆく,X,み
701,訓読み,b,隈,くま,山中を隈なく捜す。,隈,くま,X,X
702,訓読み,b,匪ず,あらず,我が心石に匪ず。,匪,あら,X,ず
703,訓読み,b,挽く,ひく,材木を鋸で挽き切る。,挽,ひ,X,く
704,訓読み,b,二俣,ふたまた,川が二俣に分かれる。,二俣,ふたまた,X,X
705,訓読み,b,釦,ぼたん,外套の釦を外す。,釦,ぼたん,X,X
706,訓読み,b,井桁,いげた,板を井桁に組む。,井桁,いげた,X,X
707,訓読み,b,幌,ほろ,幌をかけて走る。,幌,ほろ,X,X
708,訓読み,b,椋,むく,椋はなっても木は榎。,椋,むく,X,X
709,訓読み,b,煉る,ねる,緻密な作戦を煉る。,煉,ね,X,る
710,訓読み,b,鷺,さぎ,闇夜に烏、雪に鷺。,鷺,さぎ,X,X
711,訓読み,b,蔀戸,しとみど,夜に蔀戸を下ろす。,蔀戸,しとみど,X,X
712,訓読み,b,油凪,あぶらなぎ,風が止み油凪となる。,油凪,あぶらなぎ,X,X
713,訓読み,b,榎茸,えのきだけ,榎茸を吸い物にする。,榎茸,えのきだけ,X,X
714,訓読み,b,筏形,いかだがた,筏形に花を生ける。,筏形,いかだがた,X,X
715,表外読み,b,与する,くみする,慈善事業に与する。,与,くみ,X,する
716,表外読み,b,糾す,ただす,使途不明のゆくえを糾す。,糾,ただ,X,す
717,表外読み,b,偏,ひとえ,偏に皆様のご協力のお陰です。,偏,ひとえ,X,X
718,表外読み,b,遊ぶ,すさぶ,屋外は風が吹き遊んでいる。,遊,すさ,X,ぶ
719,表外読み,b,徐,おもむろ,内情を徐に明かした。,徐,おもむろ,X,X
720,表外読み,b,戦く,おののく,君主の暴虐ぶりに皆戦いた。,戦,おのの,X,く
721,表外読み,b,肖る,あやかる,芸能人に肖って同じ髪型にする。,肖,あやか,X,る
722,表外読み,b,革める,あらためる,悪い慣習は革めるべきだ。,革,あらた,X,める
723,表外読み,b,解す,ほぐす,気持ちが自然に解れた。,解,ほぐ,X,す
724,表外読み,b,扱く,しごく,師匠に扱かれて腕を上げる。,扱,しご,X,く
725,表外読み,b,概ね,おおむね,機械の調子は概ね良好です。,概,おおむ,X,ね
726,表外読み,b,努努,ゆめゆめ,作り事だとは努努思わなかった。,努努,ゆめゆめ,X,X
727,表外読み,b,存える,ながらえる,何があっても生き存えてみせる。,存,ながら,X,える
728,表外読み,b,鈍,にび,父の作業着は鈍色だ。,鈍,にび,X,X
729,表外読み,b,敵う,かなう,クラスで彼女に敵う者はいない。,敵,かな,X,う
730,表外読み,b,熟す,こなす,流行の服を上手く着熟す。,熟,こな,X,す
731,表外読み,b,応に,まさに,応に故郷の事を知るべし。,応,まさ,X,に
732,表外読み,b,盟う,ちかう,互いに協力し合うことを盟う。,盟,ちか,X,う
733,表外読み,b,質す,ただす,事の真偽を厳しく質す。,質,ただ,X,す
734,表外読み,b,周く,あまねく,周く世間に知れ渡っている。,周,あまね,X,く
735,表外読み,b,点てる,たてる,茶を点てて客人をもてなす。,点,た,X,てる
736,表外読み,b,糾う,あざなう,草で縄を糾う。,糾,あざな,X,う
737,表外読み,b,力める,つとめる,猛勉強して成績向上に力める。,力,つと,X,める
738,表外読み,b,報せる,しらせる,水質の調査結果を報せる。,報,しら,X,せる
739,表外読み,b,翼ける,たすける,将軍を翼ける役職につく。,翼,たす,X,ける
740,表外読み,b,階,きざはし,古寺の階を上る。,階,きざはし,X,X
741,表外読み,b,刺,とげ,刺のある言葉に傷ついた。,刺,とげ,X,X
742,表外読み,b,勤しむ,いそしむ,宣教師として布教に勤しむ。,勤,いそ,X,しむ
743,表外読み,b,直,ひた,彼の直向きさが信頼を生んでいる。,直,ひた,X,X
744,表外読み,b,斉しい,ひとしい,皆が斉しく立ち上がった。,斉,ひと,X,しい
745,表外読み,b,謙る,へりくだる,謙って敬意を示す。,謙,へりくだ,X,る
746,表外読み,b,斥う,うかがう,窓から様子を斥う。,斥,うかが,X,う
747,表外読み,b,寧ろ,むしろ,予想は外れたが寧ろ好い結果だ。,寧,むし,X,ろ
748,表外読み,b,残なう,そこなう,翠は羽を以て自ら残なう。,残,そこ,X,なう
749,表外読み,b,比ぶ,ならぶ,観光収入はドイツに比ぶ。,比,なら,X,ぶ
750,表外読み,b,孔,あな,炭には小さな孔が空いている。,孔,あな,X,X
751,表外読み,b,象る,かたどる,このケーキはハートを象っている。,象,かたど,X,る
752,表外読み,b,匿う,かくまう,しばらくの間、友人を匿う。,匿,かくま,X,う
753,表外読み,b,需める,もとめる,客の需めに応じて和服を仕立てる。,需,もと,X,める
754,表外読み,b,喚く,わめく,不満を持つ民衆が口々に喚いた。,喚,わめ,X,く
755,表外読み,b,遍く,あまねく,遍く全国に医療を提供する。,遍,あまね,X,く
756,表外読み,b,害なう,そこなう,働き詰めで健康を害なう。,害,そこ,X,なう
757,表外読み,b,拓く,ひらく,歌手としての新境地を拓いた。,拓,ひら,X,く
758,表外読み,b,諦らか,つまびらか,会議の内容を諦らかにする。,諦,つまび,X,らか
759,表外読み,b,謄し,うつし,住民票の謄しを提出する。,謄,うつ,X,し
760,表外読み,b,脅える,おびえる,神出鬼没の敵の影に脅える。,脅,おび,X,える
761,表外読み,b,聴す,ゆるす,医師から短時間の外出が聴された。,聴,ゆる,X,す
762,表外読み,b,鬱ぐ,ふさぐ,事がうまく運ばずに鬱ぎ込む。,鬱,ふさ,X,ぐ
763,表外読み,b,発く,あばく,古墳を発いて古代を研究する。,発,あば,X,く
764,表外読み,b,撮む,つまむ,強烈な刺激臭に思わず鼻を撮んだ。,撮,つま,X,む
765,表外読み,b,苛む,さいなむ,手出しができず無力感に苛まれる。,苛,さいな,X,む
766,表外読み,b,親ら,みずから,天子親から朝敵を征伐する。,親,みずか,X,ら
767,表外読み,b,創,きず,足に創を負う。,創,きず,X,X
768,表外読み,b,方に,まさに,方に父が訪ねた日だった。,方,まさ,X,に
769,表外読み,b,訂す,ただす,版を改め大幅に訂す。,訂,ただ,X,す
770,表外読み,b,布袋,ほてい,布袋は七福神のひとりだ。,布袋,ほてい,X,X
771,表外読み,b,荒む,すさむ,失恋してから心が荒んだ。,荒,すさ,X,む
772,表外読み,b,衝く,つく,風雨を衝いて決行する。,衝,つ,X,く
773,表外読み,b,普く,あまねく,普く世界に知られることとなる。,普,あまね,X,く
774,表外読み,b,零れる,こぼれる,思わず笑みが零れた。,零,こぼ,X,れる
775,表外読み,b,帳,とばり,辺りが夜の帳に包まれる。,帳,とばり,X,X
776,表外読み,b,好,よしみ,昔の好で大目に見よう。,好,よしみ,X,X
777,表外読み,b,丹,に,丹塗りのお椀を買った。,丹,に,X,X
778,表外読み,b,掌る,つかさどる,神殿に農耕を掌る女神を祭る。,掌,つかさど,X,る
779,表外読み,b,署す,しるす,有名画家の名が署された版画。,署,しる,X,す
780,表外読み,b,斜,はす,家の斜向かいに大きな桜がある。,斜,はす,X,X
781,表外読み,b,熱る,ほてる,恥ずかしさに思わず顔が熱った。,熱,ほて,X,る
782,表外読み,b,擁る,まもる,親鳥が巣箱でヒナを擁る。,擁,まも,X,る
783,表外読み,b,荘か,おごそか,荘かな琴の音色に耳を傾ける。,荘,おごそ,X,か
784,表外読み,b,漁る,あさる,めぼしい物はないか漁る。,漁,あさ,X,る
785,表外読み,b,殺ぐ,そぐ,時ならぬ雑音で気分が殺がれた。,殺,そ,X,ぐ
786,表外読み,b,焦れる,じれる,高速道路の渋滞に焦れる。,焦,じ,X,れる
787,表外読み,b,委しい,くわしい,法律に委しい専門家を呼ぶ。,委,くわ,X,しい
788,表外読み,b,散,ばら,半端物を散売りする。,散,ばら,X,X
789,表外読み,b,偶,たまたま,偶買った宝くじが当たった。,偶,たまたま,X,X
790,表外読み,b,完う,まっとう,初心を完うするのは容易ではない。,完,まっと,X,う
791,表外読み,b,轄まる,とりしまる,署員を派遣して轄まりを強化する。,轄,とりし,X,まる
792,表外読み,b,傾げる,かしげる,不可解な行動に首を傾げる。,傾,かし,X,げる
793,表外読み,b,賢しい,さかしい,子どものくせに小賢しい。,賢,さか,X,しい
794,表外読み,b,零す,こぼす,あまりの忙しさに不満を零す。,零,こぼ,X,す
795,表外読み,b,能う,あたう,能う限り迅速に対応します。,能,あた,X,う
796,表外読み,b,削ぐ,そぐ,実情を知り興味を削がれた。,削,そ,X,ぐ
797,表外読み,b,妊る,みごもる,三人目の子どもを妊る。,妊,みごも,X,る
798,表外読み,b,虚ろ,うつろ,高熱を発し虚ろな目で伏せている。,虚,うつ,X,ろ
799,表外読み,b,審らか,つまびらか,審らかな自供を求める。,審,つまび,X,らか
800,表外読み,b,固より,もとより,失敗は固より覚悟の上だ。,固,もと,X,より
801,表外読み,b,更める,あらためる,制度を実情に即して更める。,更,あらた,X,める
802,表外読み,b,勲,いさお,難事業で勲を立てた。,勲,いさお,X,X
803,表外読み,b,験す,ためす,いろいろな方法を験してみよう。,験,ため,X,す
804,表外読み,b,仕る,つかまつる,失礼仕ります。,仕,つかまつ,X,る
805,表外読み,b,副う,そう,ご期待に副えるよう頑張ります。,副,そ,X,う
806,表外読み,b,規す,ただす,校内の風紀を規す。,規,ただ,X,す
807,表外読み,b,幾ど,ほとんど,仕事は幾ど終わっている。,幾,ほとん,X,ど
808,表外読み,b,検める,あらためる,書類に不備がないか検める。,検,あらた,X,める
809,表外読み,b,太だ,はなはだ,太だ畏れ多い話だ。,太,はなは,X,だ
810,表外読み,b,運らせる,めぐらせる,世界情勢に考えを運らす。,運,めぐ,X,らせる
811,表外読み,b,歴る,へる,長い時を歴てたどり着いた。,歴,へ,X,る
812,表外読み,b,崇める,あがめる,救世主と崇められている。,崇,あが,X,める
813,表外読み,b,享ける,うける,戦乱の世に生を享ける。,享,う,X,ける
814,表外読み,b,識す,しるす,感激を心に識す。,識,しる,X,す
815,表外読み,b,迭わる,かわる,二年おきに代表者が迭わる。,迭,か,X,わる
816,表外読み,b,壮ん,さかん,士気が壮んな若者だ。,壮,さか,X,ん
817,表外読み,b,谷まる,きわまる,進退ここに谷まる。,谷,きわ,X,まる
818,表外読み,b,淑やか,しとやか,着物を着て淑やかに振る舞う。,淑,しと,X,やか
819,表外読み,b,薫く,たく,香を薫いて疲れを癒す。,薫,た,X,く
820,表外読み,b,郭詞,くるわことば,ありんすは郭詞だ。,郭詞,くるわことば,X,X
821,表外読み,b,校べる,くらべる,正本と副本を校べる。,校,くら,X,べる
822,表外読み,b,凡て,すべて,きみの意見には凡て賛成だ。,凡,すべ,X,て
823,表外読み,b,相ける,たすける,古株の社員が若社長を傍で相ける。,相,たす,X,ける
824,表外読み,b,項,うなじ,舞子の白い項が目に眩しい。,項,うなじ,X,X
825,表外読み,b,労う,ねぎらう,長年の部長の苦労を労う。,労,ねぎら,X,う
826,音読み,c,嚇怒,かくど,嚇怒した顔で睨みつける。,嚇怒,かくど,X,X
827,音読み,c,汀渚,ていしょ,汀渚に野鳥が群れている。,汀渚,ていしょ,X,X
828,音読み,c,這般,しゃはん,這般の状勢により撤退を決定した。,這般,しゃはん,X,X
829,音読み,c,儲君,ちょくん,儲君として厳格な教育を受ける。,儲君,ちょくん,X,X
830,音読み,c,誰何,すいか,事件現場の近くで景観に誰何された。,誰何,すいか,X,X
831,音読み,c,脇息,きょうそく,座布団にすわり脇息で体を支える。,脇息,きょうそく,X,X
832,音読み,c,弘誓,ぐぜい,菩薩の弘誓は海のように広く深い。,弘誓,ぐぜい,X,X
833,音読み,c,快哉,かいさい,敵陣突破に快哉を叫ぶ。,快哉,かいさい,X,X
834,音読み,c,鶯遷,おうせん,鶯遷を祝い、宴会を催す。,鶯遷,おうせん,X,X
835,音読み,c,壺中,こちゅう,壺中の天に遊ぶ。,壺中,こちゅう,X,X
836,音読み,c,一揖,いちゆう,一揖してその場を去った。,一揖,いちゆう,X,X
837,音読み,c,危殆,きたい,両国の関係は危殆に瀕している。,危殆,きたい,X,X
838,音読み,c,紛擾,ふんじょう,些細なことかた紛擾した。,紛擾,ふんじょう,X,X
839,音読み,c,井蛙,せいあ,井蛙大海を知らず。,井蛙,せいあ,X,X
840,音読み,c,穆,ぼく,穆として清風の如き人だ。,穆,ぼく,X,X
841,音読み,c,杵臼,しょきゅう,身分を越えた杵臼の交わりを持つ。,杵臼,しょきゅう,X,X
842,音読み,c,灘響,だんきょう,旅の宿で灘響を聞く。,灘響,だんきょう,X,X
843,音読み,c,古諺,こげん,世界の古諺を比較する。,古諺,こげん,X,X
844,音読み,c,豪宕,ごうとう,豪宕な性格で一目おかれている。,豪宕,ごうとう,X,X
845,音読み,c,巽言,そんげん,巽言の重みに感服する。,巽言,そんげん,X,X
846,音読み,c,烏有,うゆう,火事のため烏有に帰してしまった。,烏有,うゆう,X,X
847,音読み,c,牝牡,ひんぼ,生まれた子馬の牝牡を確かめる。,牝牡,ひんぼ,X,X
848,音読み,c,雛僧,すうそう,案内役の雛僧。,雛僧,すうそう,X,X
849,音読み,c,孜孜,しし,孜孜として学問に励む。,孜孜,しし,X,X
850,音読み,c,櫛比,しっぴ,この辺りは建物が櫛比している。,櫛比,しっぴ,X,X
851,音読み,c,稗史,はいし,土地の稗史に興味がある。,稗史,はいし,X,X
852,音読み,c,禰宜,ねぎ,禰宜は神主の下に位する。,禰宜,ねぎ,X,X
853,音読み,c,弥縫,びほう,仕事での失敗を弥縫する。,弥縫,びほう,X,X
854,音読み,c,廠舎,しょうしゃ,演習用に廠舎が仮設される。,廠舎,しょうしゃ,X,X
855,音読み,c,祁寒,きかん,祁寒でも子供たちは元気だ。,祁寒,きかん,X,X
856,音読み,c,郁郁,いくいく,郁郁たる梅花に時を忘れる。,郁郁,いくいく,X,X
857,音読み,c,熊胆,ゆうたん,熊胆は胃薬などとして珍重される。,熊胆,ゆうたん,X,X
858,音読み,c,爾汝,じじょ,彼とは爾汝の間柄だ。,爾汝,じじょ,X,X
859,音読み,c,暴戻,ぼうれい,暴戻な領主に抗議する。,暴戻,ぼうれい,X,X
860,音読み,c,蔚蔚,うつうつ,蔚蔚たる原始林が広がる。,蔚蔚,うつうつ,X,X
861,音読み,c,晦渋,かいじゅう,晦渋な文章を読み下す。,晦渋,かいじゅう,X,X
862,音読み,c,夙夜,しゅくや,夙夜、仕事に勤しむ。,夙夜,しゅくや,X,X
863,音読み,c,翠黛,すいたい,翠黛の山に絵筆をとる。,翠黛,すいたい,X,X
864,音読み,c,枕頭,ちんとう,父の枕頭にはいつも本がある。,枕頭,ちんとう,X,X
865,音読み,c,無碍,むげ,融通無碍の境地に達する。,無碍,むげ,X,X
866,音読み,c,艶冶,えんや,舞台で艶冶な舞いを披露する。,艶冶,えんや,X,X
867,音読み,c,蓑笠,さりゅう,吹雪の中、蓑笠の翁に出会った。,蓑笠,さりゅう,X,X
868,音読み,c,亀卜,きぼく,古代中国では亀卜で占った。,亀卜,きぼく,X,X
869,音読み,c,徽章,きしょう,徽章を胸につける。,徽章,きしょう,X,X
870,音読み,c,犀利,さいり,犀利な筆致でぐいぐい読ませる。,犀利,さいり,X,X
871,音読み,c,桐油,とうゆ,番傘には桐油を使う。,桐油,とうゆ,X,X
872,音読み,c,爪牙,そうが,猛獣が爪牙を向けて獲物に迫る。,爪牙,そうが,X,X
873,音読み,c,口吻,こうふん,激しい口吻でなじられた。,口吻,こうふん,X,X
874,音読み,c,椿事,ちんじ,正月から椿事が起こる。,椿事,ちんじ,X,X
875,音読み,c,尤物,ゆうぶつ,彼はなかなかの尤物だ。,尤物,ゆうぶつ,X,X
876,音読み,c,禾穀,かこく,禾穀の豊かな土地で生活する。,禾穀,かこく,X,X
877,音読み,c,厩舎,きゅうしゃ,厩舎からいななきが聞こえる。,厩舎,きゅうしゃ,X,X
878,音読み,c,乃公,だいこう,乃公とは自分のことを指す。,乃公,だいこう,X,X
879,音読み,c,堰堤,えんてい,堰堤を設けて川の水位を調整する。,堰堤,えんてい,X,X
880,音読み,c,錫杖,しゃくじょう,僧侶が錫杖を鳴らす。,錫杖,しゃくじょう,X,X
881,音読み,c,彼此,ひし,彼此の別について論議する。,彼此,ひし,X,X
882,音読み,c,暢達,ちょうたつ,人柄が表れた暢達な筆跡だ。,暢達,ちょうたつ,X,X
883,音読み,c,些事,さじ,些事にこだわると大局を見失う。,些事,さじ,X,X
884,音読み,c,卿相,けいしょう,昔、高官は卿相と呼ばれていた。,卿相,けいしょう,X,X
885,音読み,c,都邑,とゆう,ヨーロッパの古き都邑を訪ねる。,都邑,とゆう,X,X
886,音読み,c,喋喋,ちょうちょう,純文学について喋喋と論じた。,喋喋,ちょうちょう,X,X
887,音読み,c,鉄桶,てっとう,鉄桶の防備でつけいるすきがない。,鉄桶,てっとう,X,X
888,音読み,c,優渥,ゆうあく,王より優渥なる処遇を受ける。,優渥,ゆうあく,X,X
889,音読み,c,穎脱,えいだつ,幼少の頃より穎脱した神童だった。,穎脱,えいだつ,X,X
890,音読み,c,桑梓,そうし,功名を立てて桑梓の地に帰る。,桑梓,そうし,X,X
891,音読み,c,肴核,こうかく,肴核既に尽きて杯盤狼ぜきたり。,肴核,こうかく,X,X
892,音読み,c,姪孫,てっそん,遠方で暮らす姪孫に文を送る。,姪孫,てっそん,X,X
893,音読み,c,頁岩,けつがん,頁岩は泥土が積み重なってできた。,頁岩,けつがん,X,X
894,音読み,c,九皐,きゅうこう,鶴九皐に鳴き、声、天に聞こゆ。,九皐,きゅうこう,X,X
895,音読み,c,萱堂,けんどう,萱堂には大変お世話になりました。,萱堂,けんどう,X,X
896,音読み,c,岡阜,こうふ,岡阜に登って町を眺める。,岡阜,こうふ,X,X
897,音読み,c,禾穂,かすい,稲の禾穂を調べる。,禾穂,かすい,X,X
898,音読み,c,掻頭,そうとう,初対面で照れくさそうに掻頭する。,掻頭,そうとう,X,X
899,音読み,c,茅屋,ぼうおく,茅屋に招いて酒を酌み交わす。,茅屋,ぼうおく,X,X
900,音読み,c,矛戟,ぼうげき,万死を矛戟の下に免るることを得たり。,矛戟,ぼうげき,X,X
901,音読み,c,盤桓,ばんかん,終日盤桓して名刹の風景を楽しむ。,盤桓,ばんかん,X,X
902,音読み,c,馨香,けいこう,人民が徳治の馨香をたたえる。,馨香,けいこう,X,X
903,音読み,c,世諺,せいげん,日本の古い世諺を調べる。,世諺,せいげん,X,X
904,音読み,c,捺染,なっせん,伝統的な捺染の技術を伝承する。,捺染,なっせん,X,X
905,音読み,c,芝蘭,しらん,芝蘭の室に入るが如し。,芝蘭,しらん,X,X
906,音読み,c,衣桁,いこう,衣桁に着物が掛けてある。,衣桁,いこう,X,X
907,音読み,c,豊頬,ほうきょう,彼女の母は豊頬の美人だ。,豊頬,ほうきょう,X,X
908,音読み,c,揖譲,ゆうじょう,古代中国の揖譲の礼を学ぶ。,揖譲,ゆうじょう,X,X
909,音読み,c,秤量,しょうりょう,両者の立場を秤量する。,秤量,しょうりょう,X,X
910,音読み,c,集輯,しゅうしゅう,昔話を集輯する。,集輯,しゅうしゅう,X,X
911,音読み,c,烹炊,ほうすい,海軍で烹炊班に所属していた。,烹炊,ほうすい,X,X
912,音読み,c,腔腸,こうちょう,イソギンチャクは腔腸動物。,腔腸,こうちょう,X,X
913,音読み,c,斌斌,ひんぴん,恩師の斌斌たる人柄が偲ばれる。,斌斌,ひんぴん,X,X
914,音読み,c,鰐魚,がくぎょ,鰐魚を海の神とする説話がある。,鰐魚,がくぎょ,X,X
915,音読み,c,諒恕,りょうじょ,ご諒恕のほどお願い申し上げます。,諒恕,りょうじょ,X,X
916,音読み,c,竪子,じゅし,竪子与に謀るに足らず。,竪子,じゅし,X,X
917,音読み,c,樗,ちょ,吾に大樹有り、人之を樗と謂う。,樗,ちょ,X,X
918,音読み,c,象著,ぞうちょ,象著と玉杯を贈られた。,象著,ぞうちょ,X,X
919,音読み,c,畢生,ひっせい,畢生の大作を書き上げた。,畢生,ひっせい,X,X
920,音読み,c,霊廟,れいびょう,先祖の霊をまつる霊廟がある。,霊廟,れいびょう,X,X
921,音読み,c,城砦,じょうさい,四方に城砦を築く。,城砦,じょうさい,X,X
922,音読み,c,庚申,こうしん,庚申信仰は道教に由来する。,庚申,こうしん,X,X
923,音読み,c,粟粒,ぞくりゅう,表面に粟粒大の汚れが付着する。,粟粒,ぞくりゅう,X,X
924,音読み,c,伽羅,きゃら,香木の質の良いものを伽羅と呼ぶ。,伽羅,きゃら,X,X
